Price,Date copied,Open Price,High,Low,Closing price,Vol.,Change %,Column1, Daily volatility in $ ,Daily volatility in %
"3,201.38","Jul 16, 2020","3,217.12","3,217.25","3,197.38","3,201.38",-,-0.56%,1%, $19.87 ,1%
"3,219.50","Jul 15, 2020","3,204.00","3,233.25","3,192.00","3,219.50",1.94M,1.13%,1%, $41.25 ,1%
"3,183.50","Jul 14, 2020","3,149.75","3,192.25","3,119.00","3,183.50",2.26M,1.12%,1%, $73.25 ,2%
"3,148.25","Jul 13, 2020","3,183.50","3,226.25","3,140.50","3,148.25",2.07M,-0.95%,1%, $85.75 ,3%
"3,178.50","Jul 10, 2020","3,142.25","3,181.25","3,111.50","3,178.50",1.41M,1.19%,1%, $69.75 ,2%
"3,141.00","Jul 09, 2020","3,166.25","3,170.75","3,105.25","3,141.00",1.88M,-0.71%,1%, $65.50 ,2%
"3,163.50","Jul 08, 2020","3,135.25","3,166.25","3,125.50","3,163.50",1.53M,0.86%,1%, $40.75 ,1%
"3,136.50","Jul 07, 2020","3,170.00","3,184.00","3,132.50","3,136.50",1.33M,-1.12%,1%, $51.50 ,2%
"3,172.00","Jul 06, 2020","3,121.25","3,174.50","3,121.25","3,172.00",1.46M,1.81%,2%, $53.25 ,2%
"3,115.62","Jul 03, 2020","3,126.62","3,138.62","3,105.75","3,115.62",-,-0.43%,0%, $32.87 ,1%
"3,129.00","Jul 02, 2020","3,101.75","3,156.50","3,095.50","3,129.00",1.55M,0.84%,1%, $61.00 ,2%
"3,103.00","Jul 01, 2020","3,085.25","3,117.75","3,062.75","3,103.00",1.54M,0.41%,0%, $55.00 ,2%
"3,109.00","Jun 18, 2020","3,115.00","3,130.50","3,075.25","3,109.00",373.72K,-0.29%,0%, $55.25 ,2%
"3,118.00","Jun 17, 2020","3,122.00","3,157.75","3,105.00","3,118.00",610.88K,-0.34%,0%, $52.75 ,2%
"3,128.75","Jun 16, 2020","3,076.25","3,167.75","3,071.25","3,128.75",1.38M,1.81%,2%, $96.50 ,3%
"3,073.00","Jun 15, 2020","2,992.75","3,079.25","2,935.00","3,073.00",1.95M,1.26%,1%, $144.25 ,5%
"3,034.75","Jun 12, 2020","3,011.75","3,087.75","2,982.00","3,034.75",2.87M,0.81%,1%, $105.75 ,4%
"3,010.25","Jun 11, 2020","3,183.75","3,188.50","2,996.25","3,010.25",3.53M,-5.52%,6%, $192.25 ,6%
"3,186.00","Jun 10, 2020","3,204.75","3,227.25","3,179.75","3,186.00",2.00M,-0.61%,1%, $47.50 ,1%
"3,205.50","Jun 09, 2020","3,227.75","3,231.00","3,190.00","3,205.50",1.70M,-0.68%,1%, $41.00 ,1%
"3,227.50","Jun 08, 2020","3,192.50","3,231.25","3,183.25","3,227.50",1.60M,1.28%,1%, $48.00 ,2%
"3,186.75","Jun 05, 2020","3,113.25","3,210.50","3,106.50","3,186.75",2.44M,2.45%,2%, $104.00 ,3%
"3,110.50","Jun 04, 2020","3,117.75","3,126.75","3,087.50","3,110.50",1.83M,-0.23%,0%, $39.25 ,1%
"3,117.75","Jun 03, 2020","3,078.00","3,129.50","3,074.25","3,117.75",1.62M,1.32%,1%, $55.25 ,2%
"3,077.00","Jun 02, 2020","3,052.75","3,079.00","3,035.00","3,077.00",1.46M,0.75%,1%, $44.00 ,1%
"3,054.00","Jun 01, 2020","3,029.75","3,059.00","3,008.00","3,054.00",1.28M,0.39%,0%, $51.00 ,2%
